previsao,valor_real
0.5116367,0.6122795
0.5712228,0.55858666
0.5948743,0.6777545
0.63568217,0.7046694
0.6931388,0.766824
0.7424118,0.73510116
0.7421313,0.7079635
0.71459484,0.7380845
0.72167987,0.715456
0.7291035,0.7623504
0.7509603,0.68436444
0.7303978,0.6939876
0.71344274,0.72275764
0.7361632,0.77532566
0.7852511,0.8640184
0.8480084,0.87282795
0.87381464,0.87617457
0.86670524,0.8106413
0.82640964,0.8475016
0.82736945,0.8334446
0.8388015,0.77722514
0.80849713,0.7643315
0.7831548,0.7898171
0.8042811,0.7704113
0.81348217,0.7708871
0.80669266,0.7399925
0.7886526,0.781407
0.8019481,0.7713528
