previsao,valor_real
0.91799384,0.95192224
0.91017205,0.9354053
0.91073775,1.0445958
0.9407863,1.1731834
1.012052,1.1761088
1.0821114,1.1385362
1.1119062,1.0783254
1.0936358,1.0693184
1.0592663,1.0563145
1.0337421,1.1318294
1.044467,1.1144722
1.0692964,1.0630647
1.0761054,1.1591516
1.0872103,1.0940338
1.0922878,1.1661462
1.1040133,1.2519721
1.138237,1.2571256
1.1775987,1.1799161
1.1844795,1.1850559
1.1685369,1.1917179
1.1541556,1.1701803
1.1470971,1.186146
1.1481608,1.2727079
1.174373,1.1833332
1.1885941,1.1242342
1.1670387,1.080866
1.1250999,1.0745045
1.0878887,0.7590308
