previsao,valor_real
0.74308544,0.8069793
0.76200235,0.73861015
0.7692607,0.8461332
0.7843777,0.8677557
0.8169182,0.9171779
0.8613687,0.9119031
0.89299184,0.9171539
0.90040416,0.93936354
0.89738715,0.9081392
0.89254034,0.9068419
0.89175993,0.8870283
0.8920346,0.8703708
0.88854665,0.87778956
0.8845044,0.85772073
0.8808729,0.92497575
0.8931881,0.9313826
0.9160463,0.9926308
0.9457984,0.9759854
0.96545637,0.98979074
0.9701743,0.9634178
0.9602978,0.92249215
0.9393059,0.923246
0.92215884,0.9215058
0.9197028,0.8905394
0.92250234,0.890174
0.92152023,0.84801173
0.9064466,0.9111176
0.8986556,0.83998173
